hip,proper_name,bayer,flamsteed,constellation
11767,Polaris,Alpha UMi,,Ursa Minor
21421,Aldebaran,Alpha Tau,,Taurus
24436,Rigel,Beta Ori,,Orion
24608,Capella,Alpha Aur,,Auriga
27989,Betelgeuse,Alpha Ori,,Orion
30438,Canopus,Alpha Car,,Carina
32349,Sirius,Alpha CMa,,Canis Major
65474,Spica,Alpha Vir,,Virgo
69673,Arcturus,Alpha Boo,,Bootes
72607,Kochab,Beta UMi,,Ursa Minor
80763,Antares,Alpha Sco,,Scorpius
91262,Vega,Alpha Lyr,,Lyra
92420,Sheliak,Beta Lyr,,Lyra
93194,Sulafat,Gamma Lyr,,Lyra
95947,Albireo,Beta Cyg,,Cygnus
97278,Tarazed,Gamma Aql,,Aquila
97649,Altair,Alpha Aql,,Aquila
102098,Deneb,Alpha Cyg,,Cygnus
113368,Fomalhaut,Alpha PsA,,Piscis Austrinus
